N,merge_worst,merge_avg,merge_best,heap_worst,heap_avg,heap_best
250000,0.525568314,0.578196322,0.517833403,0.312473537,0.331683708,0.332101880
250000,0.525645318,0.578591025,0.525746856,0.312553533,0.330815479,0.331929562
250000,0.530423228,0.579813266,0.519308673,0.312176014,0.330483056,0.332053777
250000,0.525917378,0.579800206,0.518524093,0.312727738,0.330419773,0.331997346
250000,0.525130835,0.580975930,0.518645404,0.312461143,0.330816324,0.332686541
250000,0.528685001,0.578496271,0.519604888,0.320528496,0.342573798,0.331622201
250000,0.531506899,0.578022167,0.519347449,0.312076113,0.331414973,0.331985362
250000,0.524804215,0.585504469,0.518908910,0.312498300,0.330441544,0.331477051
250000,0.525493566,0.580102117,0.518473632,0.312659484,0.330394815,0.331821082
250000,0.524461362,0.582173325,0.518353031,0.312429058,0.330551684,0.331721154
250000,0.528790746,0.579979249,0.518248467,0.312595482,0.330880726,0.333644868
250000,0.527220799,0.579633238,0.519728031,0.312328528,0.330641826,0.354836723
250000,0.525319733,0.579368725,0.518135909,0.312458254,0.330053318,0.334453308
250000,0.525925879,0.579260268,0.517168129,0.312194257,0.330859573,0.390766780
250000,0.525447895,0.579001321,0.518469677,0.314635381,0.331194761,0.407377593
